block_number,tx_hash,market,liquidator,borrower,repay_amount_raw,seize_tokens_raw
50180859,0x7b52a5f00968aec08906786a11b1f6ed6c991d4a09a634cefd0b891960d44bb8,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x3d9c2A22e772337fE0a94332a457939A7aE9a6C9,254024124426425,2342862900
50181416,0x8f5c574a7bc3fe71fe004893d3bbd81e46e95892e19385a6e21fa7bef6420afe,0x3bf93770f2d4a794c3d9EBEfBAeBAE2a8f09A5E5,0x94322A5A23C831Cd6e09cbA687D0f97e7Bc2a6AB,0xcEb25e3c3577c231Fa2e9CFcb20860D898c807b3,128017113607342084,3319934051545
50181421,0x5580b82b801921f102d3bf75a954be5b1febdac422228441764a9c85bfc14ceb,0x628ff693426583D9a7FB391E54366292F509D457,0xfa35CF1aCf6795e432CF06820605953B4A3e37e8,0x8f0b9d87F6e244d934b92B6ffa4aDCB0771E997e,6866015757040675,71490924420
50181972,0x6206950d2298c5fe4972f4464a977b08029f97645da3b7462ee26813b5604d5b,0x3bf93770f2d4a794c3d9EBEfBAeBAE2a8f09A5E5,0xEfC618b1ed83AB9D6497BD9f27712C0DE6b759EB,0xBC96b05477dF83F0623C5eB958C2D8696681DcF9,21610930404098893,133849177
50181981,0x8507dbc54246d6c5de1a55e1c558eeda0b32f4cc25b2851e5ec376238d68cc9c,0xF877ACaFA28c19b96727966690b2f44d35aD5976,0xb669CE0FBDb9FfE13fc663ece71EDc1EF39CDaE0,0x40801f86DAfc518f14B2e476902Fb100Db6ecfB1,26931,87979430470
50182702,0xf157dc000c65e1f3477c6727883a280b7a8191fc45de00aca475bae4133efd2f,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x3d9c2A22e772337fE0a94332a457939A7aE9a6C9,127012235413878,1255273597
50182866,0xe5641c4c567add23215908feccf8dca2353a292dd4787b4ca4c95836e1b15cb6,0xfC41B49d064Ac646015b459C522820DB9472F4B5,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xE471701C7ADAB52846a0DEe46F28eD45f793Ccf4,127755449482189,2323985906
50183024,0x5ab5c5dff92ceae407238f91ddf2722b721b874172fa3949c6a8153c8234c6c8,0x3bf93770f2d4a794c3d9EBEfBAeBAE2a8f09A5E5,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x8F27D7AF6b00eE451b6742d44ADFde3797C827d5,158981481973170,962205
50183027,0x31cd49ad52546896fe80ac4e64ec5ccb70dc55e6998e0b8ec29de7839f1df059,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0x8aCf7afC056397CA51e115E4c2Cac09A39e12492,0xbC4333FE147e4285f8442e7844096FE214499669,3719901723,17652826313758
50183028,0xfb6aca6c3d38dfd56d0c215a70535f3593137ad33215c6d9516546d1851e7372,0x6308204872BdB7432dF97b04B42443c714904F3E,0xEfC618b1ed83AB9D6497BD9f27712C0DE6b759EB,0x40801f86DAfc518f14B2e476902Fb100Db6ecfB1,8355606634426147568,144457425334
50191668,0x9cc14f132006d12b733155e31f48da7374a2ac36b2103f0be9b0f5e779bb39f4,0x3bf93770f2d4a794c3d9EBEfBAeBAE2a8f09A5E5,0xb669CE0FBDb9FfE13fc663ece71EDc1EF39CDaE0,0x662DD6980f2442e1Db4BA4ecC5518eed376005e4,4242985030534372,26375544
50191669,0x0fc92d294e8c62e144f1c8fbf6ce5c1f935ba0db2ffdb122526f4c4760aa6332,0xb8051464C8c92209C92F3a4CD9C73746C4c3CFb3,0xB798135Bda49494d0DC783e7Db057Da590b7F94F,0x65254A270E12Bb00139ECB652f06dd1bc53FcD42,285517708943477,1719075
50191671,0xf9592a951e33227d6f02ba50bf664e7604409b58b9e48455e48cce9695a32712,0x628ff693426583D9a7FB391E54366292F509D457,0x8aCf7afC056397CA51e115E4c2Cac09A39e12492,0x76F88702325c92C83eFaD341a932Fb326957056F,5039082427810259885,52807233441594
50191671,0x3a16e8006e38a18abdc2fff0eb8ddfd76114cf661dc84e845a0188fe00a92ceb,0x628ff693426583D9a7FB391E54366292F509D457,0x8407699e359aE158bd7ec0668600cc19A79F17c3,0x76F88702325c92C83eFaD341a932Fb326957056F,2493459375861006848,26130291223563
50191672,0xf8c3c86ebb50ccdab5d49a66ebda259d8eeb80f5ebcc13ebe6ed5da481103226,0x628ff693426583D9a7FB391E54366292F509D457,0xEfC618b1ed83AB9D6497BD9f27712C0DE6b759EB,0x76F88702325c92C83eFaD341a932Fb326957056F,1272811565137501613,13338471489461
50191727,0x330900ef2be49b40befcdec4b0926f1cf2602f47e8bc42be6cc298967bed781c,0x628ff693426583D9a7FB391E54366292F509D457,0x8407699e359aE158bd7ec0668600cc19A79F17c3,0xAA069d6199E0f4FCC84C6354E050D5F25f74c429,562268248028012672,98592739
50191912,0x4487744e77e51fa6b052626fd939bccfb711095731cc4ed164bc6f15b0939322,0x628ff693426583D9a7FB391E54366292F509D457,0x8aCf7afC056397CA51e115E4c2Cac09A39e12492,0x76F88702325c92C83eFaD341a932Fb326957056F,636405886782058831,6689331064810
50192153,0x6af0b50063290354934f54bde6f0b6f97625023920fa8ca5a781c0185d86fe2e,0x628ff693426583D9a7FB391E54366292F509D457,0xEfC618b1ed83AB9D6497BD9f27712C0DE6b759EB,0x76F88702325c92C83eFaD341a932Fb326957056F,318203002489797438,3449876568707
50192167,0x81b33db28eb4c6d34bc6b53c6604078821b0f755ef4233951a3abcf4e3230355,0x628ff693426583D9a7FB391E54366292F509D457,0xDA5953Da8477E8b3A122540d460986c4F769BD80,0xFE6e5A14C0f8054040725EF0a6730F5DfE57AD42,2263629115824597217,22367342480485
50192597,0x62a6f8244c1a0539041016762e0bbdf7baf8d24545c04e8b69967148cb4ba477,0x628ff693426583D9a7FB391E54366292F509D457,0x2a6EFb4f50BDb2be9b4FbFDF7CaDFdA3fBe0b688,0x3d9c2A22e772337fE0a94332a457939A7aE9a6C9,63506576465278,683236261
50218509,0x7ca8bae3ad941c2ff0a42a3b3a49b2d764183c07aaf81da5555f07a7127f93cd,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xa7B56c8c4751661F08421F674693C6E020777ad5,0xAfAd92a267e871a90A3bB0BB0E46dCbA65f34357,23368,105188457
50221087,0xc57709bb5d7a537c1d936cd898ad223499b96db8cbfbf8bdf042731cf79db456,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xa7B56c8c4751661F08421F674693C6E020777ad5,0xB006D4A23BEa63f770CA74674AcF892d3e1fB881,36052,352687686
50221451,0x52ad80b19a089f1c8ef665bd7a631adc3017e7dfe2c7c70ca611b06bb3c09905,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xfA826Ff8ADa02e5ddefCc72A0360Dc5c94CAEF4C,62450071084619,330987
50221458,0xdfb433952f398014459e2238db89e044592b454bfc8222783d446918da833662,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x1e36322292725F408E2A5b9a4610A8CE48Dd45AA,76700319068940,833876860
50221503,0x8a6bdc843d2af50ecb587db6f9c8b1208de1e22ec9151fa9f9329c9adbbddd19,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x2565E923de206F04A49bD93d3C75b85F0d354BE3,457936,4529687475
50221795,0x4e7c5669ce58bdaa7adb0ad166596ecaf1fa8de70a957878bf79bc158d4fabc6,0xb682c840B5F4FC58B20769E691A6fa1305A501a2,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x4C2de0c63b7e6d530df7E6221201E29858cAe7de,101252,562056477
